State (Emission order)	H3K4me1	H3K27ac	H3K9ac	H3K4me2	H3k4me3	H2AFZ	H3K79m2	H3K36me3	H3K9me3	H3K27me3
1	4.5030740667051903E-4	3.4365813473727493E-5	0.009434209195259616	1.0113800299359643E-4	1.125992882701587E-5	0.004635730365101721	6.6906181792085225E-6	1.7098616529177996E-5	0.0013154583639262045	0.18406666524962348
2	1.5916000301620698E-4	5.234943714892411E-4	0.005799812023286233	3.432298336473392E-10	2.232347621777628E-10	0.005832690169966594	4.1513294469761486E-4	0.0011814849792004633	0.004096037972228499	0.0035753636555315733
3	0.00165622052701041	0.008293270784986784	0.004760617911642203	2.6684830972545115E-4	0.015332782681446796	0.019166735262405022	0.0035950832056571057	0.06679868125876193	0.5004536453078333	0.00317956290018109
4	0.0014081070602210497	0.009439972711857812	0.01877026468977045	1.1061754650116298E-4	3.2537068271239374E-5	1.5318477658673614E-4	0.018181247732184866	0.5950721629790099	0.005807702321757812	9.874738680175556E-5
5	0.06311970812641648	0.06601794524333415	0.04198008605990106	0.023463201118711616	0.002224096513499702	2.4293594529557676E-4	0.8189650721458954	0.8561470668694974	0.04180764265485217	1.4423037723426207E-5
6	0.03073166922046003	0.015737180215402127	0.02055694875367075	0.007246665332839088	2.9627106435009863E-5	1.6043748392335485E-4	0.6720169951940699	0.0565305697601074	0.004557853871900005	1.860685481934445E-4
7	0.9062917460032747	0.34242727871716644	0.3662060723239761	0.7355117827473193	0.3557230934878787	0.002537309338530483	0.9564957277264371	0.42493491814360496	0.0050381489584237615	3.040080178227371E-4
8	0.6289177490523137	0.17458421437626967	0.06612614944590135	0.14663370440158366	0.019086456516029252	0.14074337365899095	0.008235806456634683	0.01362301532758	0.006501033702113698	0.033167932853258975
9	0.9903588361380836	0.9755681293976751	0.5836056066797306	0.4089340890513716	0.046635451037321876	0.30951682287389226	0.059782178985036336	0.042595628937081964	0.01397687048663007	8.270811326091681E-4
10	0.6508077523859462	0.7784533764077536	0.9065494275726599	0.9869023752484407	0.9869228825708599	0.732095740872931	0.48761178512205544	0.01184542970537135	0.0035648957342794274	0.03590319628087854
