State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9837973087946825	0.013968299905278892	2.224642931777436E-4	0.0	0.0	0.0	0.0	0.0019504335096334265	0.0	6.149349722743958E-5
2	0.003174437347185306	0.987996986625826	0.003193006043627025	0.001485536229359575	0.0	3.152537125699718E-4	3.676555142846461E-6	0.0037995768261286037	7.704504161857068E-6	2.3822155998610337E-5
3	0.0021074138885887952	0.11583595503768382	0.8769454511959972	0.002181470080862454	4.62263366385372E-4	1.4210797763910114E-4	3.770780643064511E-8	0.0013945449354853111	7.42982387200747E-4	1.8777342235081444E-4
4	0.0	0.01589249611734907	6.575235632127678E-4	0.9704055436885788	0.010845825717935057	6.192793399576075E-4	2.012925252876364E-4	0.0011165188006850989	2.5210440511736794E-4	9.415841876792487E-6
5	0.0	3.8071632782139305E-8	7.6677358668341E-4	0.0487538797465646	0.8673825827743075	0.06953514598907798	0.012802723332856236	3.261059695919991E-4	4.327505292855028E-4	0.0
6	0.0	0.00821859163363531	9.390967379720912E-5	0.001526535433614828	0.03840851704354477	0.9311115133718461	0.01952546624606401	0.0010476537540878227	6.75048079203251E-5	3.0803548958426966E-7
7	0.0	2.610950539875741E-4	4.024076066364423E-5	0.0017212894822542252	0.022040260857662315	0.058358374234121886	0.8629596255680344	0.008611905096708465	0.0038637017347906413	0.042143507211776905
8	0.01904438131315973	0.15990968958578491	0.0020735473253175023	0.004646910789253794	3.3342995600181E-4	0.0019227088799250796	0.004542870252390227	0.714106589643112	0.05478899097229924	0.03863088128275576
9	0.0	0.0015567201979238576	0.0018951550259449859	0.0023657998871464904	0.0010625303967225922	5.274951244042274E-4	0.0052549879277511615	0.1400869075688119	0.8160252760983193	0.031225127772975397
10	0.0010348037195906318	0.0018591387269354068	4.075994269588865E-4	7.223200562906051E-5	0.0	0.0	0.039497872794745016	0.06203467754804688	0.020696879694040958	0.8743967960840531
